Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04931:Insulin resistance	12	2.255639098	3.97E-04	"MLXIP, GYS1, G6PC3, PDPK1, RPS6KA2, INSR, PIK3CD, NR1H3, PIK3R2, SLC27A3, ACACB, TNFRSF1A"	266	109	8865	3.669034973	0.109436839	0.02317565	0.022778807
KEGG_PATHWAY	hsa04142:Lysosome	13	2.443609023	5.71E-04	"CTSA, ABCA2, ATP6AP1, GAA, AP1B1, AP3D1, CTNS, GBA1, HYAL2, PSAP, CTSD, ATP6V0C, CTSB"	266	132	8865	3.28221121	0.153704655	0.027714512	0.027239949
KEGG_PATHWAY	hsa04070:Phosphatidylinositol signaling system	11	2.067669173	6.64E-04	"ITPK1, PI4KA, INPPL1, PIK3CD, PIK3R2, PIP4K2B, PI4KB, PIP5K1C, CDIPT, IP6K1, DGKZ"	266	98	8865	3.74079331	0.176396506	0.027714512	0.027239949
GOTERM_BP_DIRECT	GO:0071276~cellular response to cadmium ion	8	1.503759398	2.66E-05	"DAXX, MT2A, HSF1, MT1G, MT1H, MT1X, MT1HL1, MAPK3"	503	35	19416	8.822948026	0.067385279	0.029564879	0.029373412
GOTERM_BP_DIRECT	GO:0006914~autophagy	16	3.007518797	3.00E-05	"USP13, MAP1S, SEC16A, TFEB, CLEC16A, GBA1, HDAC6, VPS51, TBC1D5, VPS11, PLEKHM1, ATG4B, DRD2, TBC1D17, TECPR2, RAB8A"	503	167	19416	3.698241688	0.075704233	0.029564879	0.029373412
GOTERM_BP_DIRECT	GO:0071280~cellular response to copper ion	7	1.315789474	3.38E-05	"DAXX, MT2A, HSF1, MT1G, MT1H, MT1X, MT1HL1"	503	25	19416	10.80811133	0.084876396	0.029564879	0.029373412
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	55	10.33834586	1.35E-04	"RNF10, SMARCB1, CD81, CHD8, AKAP8L, ASH2L, PKD1, MED12, KAT5, ZMIZ2, HYAL2, CDK5RAP3, PELP1, MEN1, PTOV1, TFEB, MED9, MRTFA, ACTN4, SREBF2, RNF40, TNFRSF1A, HCFC1, PRPF6, RARA, HCLS1, PRKD2, WBP2, PIK3R2, RXRB, RXRA, ZNF629, DDRGK1, HSF1, DVL2, ZBED1, TBL1X, DRD2, BRD4, MAPK3, MLXIP, WWOX, ZBTB17, POU2F1, AP3D1, NR1H3, WWP2, TBX6, SUPT5H, SMARCA4, ASXL1, PINK1, PAF1, AGRN, ZNF212"	503	1246	19416	1.703869879	0.298084982	0.076852018	0.076354309
GOTERM_BP_DIRECT	GO:0034243~regulation of transcription elongation by RNA polymerase II	6	1.127819549	1.64E-04	"INTS11, INTS1, INTS3, INTS5, INTS9, SUPT5H"	503	21	19416	11.02868503	0.349047666	0.076852018	0.076354309
GOTERM_BP_DIRECT	GO:0015031~protein transport	27	5.07518797	1.76E-04	"GDI1, STXBP2, RRBP1, PIK3R2, NXF1, VPS51, VPS52, DAG1, TOM1, ERC1, TBC1D17, AP5S1, EXOC7, ATP13A1, PRAF2, SEC16A, GBF1, CTNS, ACTN4, ARFGAP2, RUFY1, TBC1D5, HGS, RAB35, PLEKHM1, EXOC3, ATG4B"	503	460	19416	2.265675512	0.369443559	0.076852018	0.076354309
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	20	3.759398496	2.30E-04	"PDPK1, MAST2, INSR, DAPK3, MINK1, PIK3CD, TYK2, CDK11B, CDC25B, NUAK1, PINK1, FASTK, MKNK2, CDK2, RARA, PRKD2, MARK4, PRKACA, CSNK1G2, MAPK3"	503	292	19416	2.64386285	0.45320808	0.086034828	0.08547765
GOTERM_BP_DIRECT	GO:0106074~aminoacyl-tRNA metabolism involved in translational fidelity	5	0.939849624	2.62E-04	"LARS2, AARS1, LARS1, AARSD1, VARS1"	503	13	19416	14.84630677	0.497605128	0.086034828	0.08547765
GOTERM_BP_DIRECT	GO:0071294~cellular response to zinc ion	6	1.127819549	3.20E-04	"MT2A, P2RX4, MT1G, MT1H, MT1X, MT1HL1"	503	24	19416	9.650099404	0.568800671	0.093450006	0.092844806
REACTOME_PATHWAY	R-HSA-1483257~Phospholipid metabolism	19	3.571428571	1.62E-04	"ABHD4, MBOAT7, INPPL1, PIK3CD, PIK3R2, PLA2G6, AGPAT1, PLD3, PIK3R5, RUFY1, FIG4, JMJD7-PLA2G4B, CPNE1, PI4KA, PIP4K2B, PIP5K1C, PI4KB, PNPLA6, CDIPT"	359	212	11153	2.784293373	0.183575499	0.101402212	0.100835719
REACTOME_PATHWAY	R-HSA-1655829~Regulation of cholesterol biosynthesis by SREBP (SREBF)	9	1.691729323	3.39E-04	"RXRA, FASN, CARM1, SCAP, DHCR7, TBL1X, ACACB, SEC24C, SREBF2"	359	55	11153	5.083666751	0.346346193	0.107010113	0.106412291
REACTOME_PATHWAY	R-HSA-1483255~PI Metabolism	11	2.067669173	3.42E-04	"RUFY1, FIG4, PI4KA, INPPL1, PIK3CD, PIK3R2, PIP4K2B, PI4KB, PIP5K1C, PNPLA6, PIK3R5"	359	84	11153	4.068278286	0.348262613	0.107010113	0.106412291
REACTOME_PATHWAY	R-HSA-400206~Regulation of lipid metabolism by PPARalpha	13	2.443609023	4.30E-04	"NR1H3, MED9, MED16, MED15, SREBF2, NCOR2, MED12, RXRB, MED22, RXRA, SIN3B, CARM1, TBL1X"	359	119	11153	3.393857822	0.416897842	0.107855359	0.107252815
GOTERM_BP_DIRECT	GO:0006338~chromatin remodeling	42	7.894736842	4.82E-04	"PTPRU, KDM5C, SMARCB1, CHD8, MAST2, CHD3, NUAK1, KAT5, MIER2, RPS6KA2, SCMH1, MKNK2, MARK4, ZBTB7A, MORC2, BRD4, PAK4, MBD3, DAXX, KDM4B, RING1, PDPK1, PCGF2, SETD1B, INSR, DAPK3, MINK1, CTDSPL, TYK2, DUSP8, SSH3, SMARCA4, CDC25B, HCFC1, CTDNEP1, PINK1, CTDSP1, CARM1, CDK2, PTPN6, SNRNP200, CSNK1G2"	503	917	19416	1.767957143	0.717635544	0.109812639	0.109101472
GOTERM_BP_DIRECT	GO:0006325~chromatin organization	17	3.195488722	5.15E-04	"CBX6, TCF7L1, DAXX, KDM5C, KDM4B, RING1, DAPK3, SAFB, ZZEF1, RNF40, CABIN1, ASXL1, BAG6, KAT5, THAP7, ZBTB7A, BANP"	503	239	19416	2.745634977	0.741670043	0.109812639	0.109101472
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	17	3.195488722	5.40E-04	"DAXX, MAGED1, DAPK3, HIP1R, ACTN4, CDK11B, PINK1, PLSCR3, KAT5, MADD, RARA, PTPN6, HS1BP3, CALR, ZBTB7A, NOP53, CTSB"	503	240	19416	2.734194831	0.757608438	0.109812639	0.109101472
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription by RNA polymerase II	43	8.082706767	6.08E-04	"ZNF692, KDM5C, LIN37, MAGED1, CHD8, EHMT2, MEPCE, MAZ, CHD3, SGF29, HDAC6, MNT, RXRA, SIN3B, KAT5, CUX1, MIER2, HSF1, TBL1X, ZBTB7A, RBM10, MEN1, WDTC1, MBD3, ZBTB17, CBX6, PCGF2, NR1H3, MED9, WWP2, TBX6, SUPT5H, SREBF2, SMARCA4, HCFC1, NCOR2, THAP7, CDK2, RARA, PAF1, HCLS1, CALR, NOP53"	503	958	19416	1.732585697	0.797514052	0.109812639	0.109101472
GOTERM_BP_DIRECT	GO:0010273~detoxification of copper ion	5	0.939849624	6.28E-04	"MT2A, MT1G, MT1H, MT1X, MT1HL1"	503	16	19416	12.06262425	0.807509142	0.109812639	0.109101472
GOTERM_BP_DIRECT	GO:0016180~snRNA processing	5	0.939849624	6.28E-04	"INTS11, INTS1, INTS3, INTS5, INTS9"	503	16	19416	12.06262425	0.807509142	0.109812639	0.109101472
GOTERM_BP_DIRECT	GO:0034504~protein localization to nucleus	7	1.315789474	6.90E-04	"CTDNEP1, MAGED1, PAF1, ABCA7, CALR, ZBTB7A, BANP"	503	42	19416	6.433399602	0.83665935	0.113205761	0.112472619
GOTERM_BP_DIRECT	GO:0045815~transcription initiation-coupled chromatin remodeling	7	1.315789474	7.85E-04	"SMARCB1, WBP2, KAT8, ASH2L, SGF29, SMARCA4, MEN1"	503	43	19416	6.283785658	0.87260703	0.121157074	0.120372437
GOTERM_BP_DIRECT	GO:0006661~phosphatidylinositol biosynthetic process	7	1.315789474	0.001003656	"FIG4, MBOAT7, PI4KA, INPPL1, PI4KB, PIP5K1C, CDIPT"	503	45	19416	6.004506296	0.928346986	0.144269441	0.143335124
GOTERM_BP_DIRECT	GO:0045893~positive regulation of DNA-templated transcription	34	6.390977444	0.001044236	"RNF10, SF3B3, SHC1, WBP2, MAGED1, CHD8, MAZ, PBXIP1, CHD3, SGF29, AATF, MED16, TRIM8, MED12, RXRB, RXRA, KAT5, KAT8, CAPN3, TBL1X, BRD4, BANP, MBD3, DAXX, INSR, TFEB, NR1H3, TBX6, SMARCA4, HCFC1, CDK2, RARA, TAF6, RNF187"	503	717	19416	1.830423318	0.935594198	0.144269441	0.143335124
REACTOME_PATHWAY	R-HSA-9843745~Adipogenesis	12	2.255639098	7.36E-04	"MED12, NCOR2, MBD3, MED22, RXRA, CARM1, MED9, CHD3, TBL1X, MED16, MED15, SREBF2"	359	109	11153	3.42020393	0.602431761	0.153674878	0.152816359
GOTERM_BP_DIRECT	GO:0035556~intracellular signal transduction	25	4.69924812	0.001214537	"TRAF3IP2, SHC1, PRKCSH, MAST2, ASB13, EFS, RPS6KA2, MKNK2, DVL2, DRD2, MARK4, MAPK3, SH2B1, PAK4, PDPK1, DAPK3, MYO9B, TYK2, DGKZ, VAV1, PINK1, HCLS1, PRKD2, PTPN6, RGL2"	503	468	19416	2.061987052	0.958832182	0.15940804	0.158375683
KEGG_PATHWAY	hsa00510:N-Glycan biosynthesis	7	1.315789474	0.004765329	"DPAGT1, MGAT5, RPN1, MAN1C1, MOGS, MAN1B1, DDOST"	266	53	8865	4.401688183	0.752117938	0.166958961	0.164100075
KEGG_PATHWAY	hsa04960:Aldosterone-regulated sodium reabsorption	6	1.127819549	0.005145995	"PDPK1, SCNN1B, INSR, PIK3CD, PIK3R2, MAPK3"	266	38	8865	5.262168579	0.778317751	0.166958961	0.164100075
GOTERM_BP_DIRECT	GO:0009267~cellular response to starvation	9	1.691729323	0.001474164	"RRAGC, EHMT2, TFEB, CLEC16A, TSC1, GBA1, GAS2L1, SREBF2, PAK4"	503	84	19416	4.135756887	0.979194439	0.18427047	0.1830771
KEGG_PATHWAY	hsa05222:Small cell lung cancer	9	1.691729323	0.006520316	"RXRB, ZBTB17, RXRA, GADD45B, NOS2, LAMB2, CDK2, PIK3CD, PIK3R2"	266	93	8865	3.225200097	0.851944279	0.190393235	0.187133077
KEGG_PATHWAY	hsa04150:mTOR signaling pathway	12	2.255639098	0.007706599	"RRAGC, PDPK1, STRADA, RPS6KA2, INSR, NPRL3, DVL2, PIK3CD, TSC1, PIK3R2, MAPK3, TNFRSF1A"	266	158	8865	2.531169696	0.895549599	0.19148998	0.188211042
KEGG_PATHWAY	hsa04510:Focal adhesion	14	2.631578947	0.007869451	"ITGB5, SHC1, LAMB2, PDPK1, PXN, VEGFC, PIK3CD, PIK3R2, ACTN4, VAV1, ARHGAP35, PIP5K1C, PAK4, MAPK3"	266	203	8865	2.29841846	0.900437431	0.19148998	0.188211042
GOTERM_BP_DIRECT	GO:0006611~protein export from nucleus	6	1.127819549	0.001695909	"NUP214, STRADA, CALR, CCHCR1, PRKACA, PKD1"	503	34	19416	6.811834873	0.988385957	0.20235278	0.201042305
GOTERM_BP_DIRECT	"GO:0000398~mRNA splicing, via spliceosome"	14	2.631578947	0.001833033	"ZRSR2, SF3A2, SF3B3, PRPF19, ESS2, SART1, PRPF6, SNRNP70, RBM42, SNRNP200, CACTIN, YJU2B, SNRPA, RBM10"	503	196	19416	2.757171258	0.991901916	0.209204884	0.207850033
UP_KW_BIOLOGICAL_PROCESS	KW-0443~Lipid metabolism	35	6.578947368	0.010227526	"ISYNA1, ABHD4, INPPL1, HDLBP, PIK3CD, GBA1, PLA2G6, AGPAT1, ACACB, PLD3, SMPD4, CYB5R3, PSAP, PGAP6, SCAP, PIP4K2B, PIP5K1C, GGT1, CDIPT, MORC2, ACADS, GSTM2, GSTM1, MBOAT7, DGKZ, SREBF2, CYP2A6, FASN, PI4KA, ECHDC2, PNPLA6, PI4KB, DHCR7, SLC27A3, BCAT2"	340	759	11434	1.550763388	0.599457982	0.230119336	0.214778047
REACTOME_PATHWAY	R-HSA-1989781~PPARA activates gene expression	12	2.255639098	0.001325314	"MED12, RXRB, NCOR2, MED22, RXRA, CARM1, MED9, NR1H3, TBL1X, MED16, MED15, SREBF2"	359	117	11153	3.186343833	0.810187709	0.225999884	0.224737315
REACTOME_PATHWAY	R-HSA-381340~Transcriptional regulation of white adipocyte differentiation	10	1.879699248	0.001442936	"MED12, NCOR2, MED22, RXRA, CARM1, MED9, TBL1X, MED16, MED15, SREBF2"	359	84	11153	3.698434806	0.836232042	0.225999884	0.224737315
GOTERM_BP_DIRECT	GO:0046854~phosphatidylinositol phosphate biosynthetic process	7	1.315789474	0.002154969	"PI4KA, PIK3CD, PIK3R2, PIP4K2B, PI4KB, PIP5K1C, IP6K1"	503	52	19416	5.196207371	0.996527557	0.235699715	0.234173279
GOTERM_BP_DIRECT	GO:0030036~actin cytoskeleton organization	15	2.819548872	0.00253602	"SHC1, IQSEC1, PDPK1, MINK1, ARHGEF18, MRTFA, ARHGEF10L, ACTN4, SSH3, ADD1, ADRA2A, NISCH, PTK7, PIP5K1C, SPTAN1"	503	228	19416	2.539499843	0.99872589	0.258556418	0.256881957
GOTERM_BP_DIRECT	GO:0010506~regulation of autophagy	8	1.503759398	0.00256094	"USP13, PSAP, DAPK3, KAT8, PIK3R2, PIP4K2B, RAB8A, HDAC6"	503	72	19416	4.288933068	0.998806768	0.258556418	0.256881957
REACTOME_PATHWAY	R-HSA-2426168~Activation of gene expression by SREBF (SREBP)	7	1.315789474	0.00207083	"RXRA, FASN, CARM1, DHCR7, TBL1X, ACACB, SREBF2"	359	42	11153	5.177808728	0.925536065	0.25868998	0.257244785
REACTOME_PATHWAY	R-HSA-9623433~NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis	4	0.751879699	0.002385036	"RXRB, NCOR2, RXRA, NR1H3"	359	9	11153	13.80748994	0.94981401	0.25868998	0.257244785
REACTOME_PATHWAY	R-HSA-9029558~NR1H2 & NR1H3 regulate gene expression linked to lipogenesis	4	0.751879699	0.002385036	"RXRB, RXRA, FASN, NR1H3"	359	9	11153	13.80748994	0.94981401	0.25868998	0.257244785
REACTOME_PATHWAY	R-HSA-6807505~RNA polymerase II transcribes snRNA genes	9	1.691729323	0.002477478	"INTS11, POU2F1, POLR2A, INTS1, INTS3, INTS5, TAF6, INTS9, SUPT5H"	359	74	11153	3.778400964	0.955315631	0.25868998	0.257244785
KEGG_PATHWAY	hsa04141:Protein processing in endoplasmic reticulum	12	2.255639098	0.012949007	"PRKCSH, RPN1, MAN1C1, MOGS, RRBP1, MAN1B1, CALR, SEC24C, SIL1, DDOST, UBXN6, PDIA4"	266	170	8865	2.352498894	0.977758696	0.287321681	0.282401789
KEGG_PATHWAY	hsa04072:Phospholipase D signaling pathway	11	2.067669173	0.013775697	"SHC1, JMJD7-PLA2G4B, INSR, PIK3CD, TSC1, PIK3R2, PIP5K1C, AGPAT1, DGKZ, MAPK3, PIK3R5"	266	149	8865	2.460387546	0.98258576	0.287321681	0.282401789
REACTOME_PATHWAY	R-HSA-3899300~SUMOylation of transcription cofactors	7	1.315789474	0.002966413	"NCOR2, DAXX, RING1, PCGF2, SCMH1, MRTFA, SAFB"	359	45	11153	4.832621479	0.975825073	0.285916567	0.284319268
GOTERM_BP_DIRECT	GO:0006418~tRNA aminoacylation for protein translation	5	0.939849624	0.003110547	"LARS2, AARS1, LARS1, CARS2, VARS1"	503	24	19416	8.041749503	0.999719212	0.297714241	0.295786186
GOTERM_BP_DIRECT	GO:0007033~vacuole organization	4	0.751879699	0.003175619	"EXT1, FIG4, VPS11, VPS16"	503	12	19416	12.8667992	0.999763429	0.297714241	0.295786186
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	9	1.691729323	0.016209601	"PFKFB3, NOS2, INSR, MKNK2, PIK3CD, PIK3R2, IL6R, HK1, MAPK3"	266	109	8865	2.75177623	0.991536436	0.315546909	0.310143708
UP_KW_BIOLOGICAL_PROCESS	KW-0833~Ubl conjugation pathway	34	6.390977444	0.018523619	"CUL9, USP13, RNF10, CUL7, CUEDC2, TRAF3IP2, MAGED1, MGRN1, USP11, ASB13, UBR4, TNFAIP1, PRPF19, TRIM8, RNF216, DDRGK1, HECTD3, ZSWIM8, ZBED1, TBL1X, CDK5RAP3, UBXN6, WDTC1, FBXW4, RING1, USP4, KLHL22, WWP2, RNF40, ASXL1, DDB1, ATG4B, RNF220, RNF187"	340	764	11434	1.496596859	0.810631871	0.33342515	0.311196806
UP_KW_BIOLOGICAL_PROCESS	KW-0804~Transcription	90	16.91729323	0.023229845	"RNF10, KDM5C, ZNF692, SMARCB1, GMEB2, CHD8, AKAP8L, ASH2L, CHD3, SGF29, MED16, MED15, ARHGAP35, MED12, SIN3B, KAT5, ZMIZ2, KHSRP, SCMH1, UBTF, CPNE1, ZNF768, KAT8, ZNF444, PELP1, MEN1, TLE2, DAXX, ZHX3, RING1, PDPK1, DAPK3, PTOV1, TFEB, MED9, MRTFA, SAFB, SREBF2, NCOR2, MED22, THAP7, RARA, VOPP1, VGLL4, GTF3C1, ZNF592, SFSWAP, MAZ, SUPT6H, HDAC6, ZBTB40, RXRB, MNT, RXRA, POLR2A, ZNF629, CUX1, MIER2, HSF1, ZSCAN12, ZBED1, TBL1X, ZNF500, ZBTB7A, BRD4, BANP, MLXIP, MBD3, ZBTB17, CBX6, TCF7L1, KDM4B, POU2F1, BRF2, PCGF2, SETD1B, NR1H3, ZNF34, TBX6, SUPT5H, ZZEF1, SMARCA4, ASXL1, CARM1, CNOT3, PAF1, LHX6, TAF6, SLC2A4RG, ZNF212"	340	2475	11434	1.222887701	0.876541236	0.348447681	0.325217836
UP_KW_BIOLOGICAL_PROCESS	KW-0805~Transcription regulation	87	16.35338346	0.029329049	"RNF10, KDM5C, ZNF692, SMARCB1, GMEB2, CHD8, AKAP8L, ASH2L, CHD3, SGF29, MED16, MED15, ARHGAP35, MED12, SIN3B, KAT5, ZMIZ2, KHSRP, SCMH1, UBTF, CPNE1, ZNF768, KAT8, ZNF444, MEN1, TLE2, DAXX, ZHX3, RING1, PDPK1, DAPK3, PTOV1, TFEB, MED9, MRTFA, SAFB, SREBF2, NCOR2, MED22, THAP7, RARA, VOPP1, VGLL4, ZNF592, SFSWAP, MAZ, SUPT6H, HDAC6, ZBTB40, RXRB, MNT, RXRA, ZNF629, CUX1, MIER2, HSF1, ZSCAN12, ZBED1, TBL1X, ZNF500, ZBTB7A, BRD4, BANP, MLXIP, MBD3, ZBTB17, CBX6, TCF7L1, KDM4B, POU2F1, BRF2, PCGF2, SETD1B, NR1H3, ZNF34, TBX6, SUPT5H, ZZEF1, SMARCA4, ASXL1, CARM1, CNOT3, PAF1, LHX6, TAF6, SLC2A4RG, ZNF212"	340	2405	11434	1.216531735	0.929301386	0.351106729	0.327699614
UP_KW_BIOLOGICAL_PROCESS	KW-0507~mRNA processing	20	3.759398496	0.031209487	"ZRSR2, SF3A2, SF3B3, CPSF1, SFSWAP, AKAP8L, PRPF19, SUPT6H, ESS2, SART1, PRPF6, SNRNP70, KHSRP, HSF1, SYMPK, SNRNP200, CACTIN, SNRPA, RBM10, AAR2"	340	403	11434	1.668953437	0.94050793	0.351106729	0.327699614
REACTOME_PATHWAY	R-HSA-5620916~VxPx cargo-targeting to cilium	5	0.939849624	0.004051411	"EXOC7, GBF1, EXOC3, PKD1, RAB8A"	359	21	11153	7.396869611	0.993821802	0.344482899	0.342558414
REACTOME_PATHWAY	"R-HSA-512988~Interleukin-3, Interleukin-5 and GM-CSF signaling"	7	1.315789474	0.004123897	"SHC1, INPPL1, PIK3CD, PIK3R2, PTPN6, PRKACA, VAV1"	359	48	11153	4.530582637	0.994360317	0.344482899	0.342558414
REACTOME_PATHWAY	R-HSA-5661231~Metallothioneins bind metals	4	0.751879699	0.004466074	"MT2A, MT1G, MT1H, MT1X"	359	11	11153	11.29703722	0.996333523	0.349749412	0.347795505
KEGG_PATHWAY	hsa04210:Apoptosis	10	1.879699248	0.020602918	"DAXX, GADD45B, PDPK1, PIK3CD, PIK3R2, CTSD, SPTAN1, CTSB, MAPK3, TNFRSF1A"	266	136	8865	2.450519682	0.997709284	0.370937615	0.364585944
KEGG_PATHWAY	hsa05223:Non-small cell lung cancer	7	1.315789474	0.021595683	"RXRB, RXRA, GADD45B, PDPK1, PIK3CD, PIK3R2, MAPK3"	266	73	8865	3.195746215	0.998296425	0.370937615	0.364585944
KEGG_PATHWAY	hsa05216:Thyroid cancer	5	0.939849624	0.023776452	"RXRB, TCF7L1, RXRA, GADD45B, MAPK3"	266	37	8865	4.503657793	0.999112048	0.379785456	0.37328228
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	9	1.691729323	0.027168213	"SHC1, PDPK1, MAGED1, RPS6KA2, ARHGDIA, PIK3CD, PIK3R2, SH2B1, MAPK3"	266	120	8865	2.499530075	0.999678616	0.379785456	0.37328228
KEGG_PATHWAY	hsa04666:Fc gamma R-mediated phagocytosis	8	1.503759398	0.028503868	"JMJD7-PLA2G4B, INPPL1, PIK3CD, PIK3R2, PIP5K1C, PLA2G6, VAV1, MAPK3"	266	99	8865	2.693096377	0.999784824	0.379785456	0.37328228
KEGG_PATHWAY	hsa05231:Choline metabolism in cancer	8	1.503759398	0.028503868	"PDPK1, JMJD7-PLA2G4B, PIK3CD, TSC1, PIK3R2, PIP5K1C, DGKZ, MAPK3"	266	99	8865	2.693096377	0.999784824	0.379785456	0.37328228
KEGG_PATHWAY	hsa04919:Thyroid hormone signaling pathway	9	1.691729323	0.029606754	"MED12, RXRB, RXRA, PDPK1, PIK3CD, PIK3R2, MED16, PRKACA, MAPK3"	266	122	8865	2.458554172	0.999845564	0.379785456	0.37328228
KEGG_PATHWAY	hsa05213:Endometrial cancer	6	1.127819549	0.031010441	"TCF7L1, GADD45B, PDPK1, PIK3CD, PIK3R2, MAPK3"	266	59	8865	3.389193322	0.999898801	0.379785456	0.37328228
KEGG_PATHWAY	hsa05225:Hepatocellular carcinoma	11	2.067669173	0.031215243	"GSTM2, TCF7L1, GSTM1, SMARCB1, GADD45B, SHC1, DVL2, PIK3CD, PIK3R2, SMARCA4, MAPK3"	266	170	8865	2.15645732	0.999904858	0.379785456	0.37328228
UP_KW_BIOLOGICAL_PROCESS	KW-0337~GPI-anchor biosynthesis	4	0.751879699	0.040574882	"PIGT, PGAP3, GPAA1, PIGQ"	340	26	11434	5.173755656	0.974939686	0.405748817	0.378698896
WIKIPATHWAYS	WP2037:Prolactin signaling	9	1.691729323	0.002198778	"SHC1, RPS6KA2, PXN, PIK3R2, PTPN6, PPIB, CTSD, VAV1, MAPK3"	277	74	8749	3.841399161	0.683751557	0.383320351	0.383320351
